category,subcategory,brand,model,wattage
Kitchen,Oven,Angelo Po,FX82E3T,19.73
Kitchen,Oven,UNOX S.p.A.,XEDA-1011-EX*S,19.6
Kitchen,Oven,BKI,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Blodgett,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Blodgett,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Dieta,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,BKI,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Dieta,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Firex,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Firex,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Fri-Jado,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Fri-Jado,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Houno,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Houno,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Leventi,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Leventi,Invoq Hybrid 10 1/1 GN (PT),19.3
Kitchen,Oven,Sveba Dahlen,Invoq Combi 10 1/1 GN (PT),19.3
Kitchen,Oven,Sveba Dahlen,Invoq Hybrid 10 1/1 GN (PT),19.3
EV Charger,EV Charger,ChargePoint,CP6000,19.2000
EV Charger,EV Charger,ChargePoint,CP6000,19.2000
EV Charger,EV Charger,ChargePoint,CP6000 CP6011B-50A-L5.5 CP6013B-50A-L5.5 CP6011B-50A-L5.5-CHIP CP6013B-50A-L5.5-CHIP CP6011B-50A-L7 CP6013B-50A-L7 CP6011B-80A-L5.5 CP6013B-80A-L5.5 CP6011B-80A-L5.5-CHIP CP6013B-80A-L5.5-CHIP CP6011B-80A-L7,19.2000
EV Charger,EV Charger,ChargePoint,"""CP6000 CP6023B-50A-L5.5 CP6021B-80A-L5.5 CP6023B-80A-L5.5 CP6021B-50A-L7 CP6023B-50A-L7 CP6021B-80A-L7 CP6023B-80A-L7 CP6020B-HD-GW-LTE-DUAL-CHIP  CP6021B-50A-L5.5  """,19.2000
EV Charger,EV Charger,FractalEV,FR-802C1DRNAJ,19.2000
EV Charger,EV Charger,(ABB),Terra AC W19-P8-R-*D-*,19.2000
EV Charger,EV Charger,(ABB),Terra AC W19-P8-RD-MCD-0,19.2000
EV Charger,EV Charger,ABB,Terra AC W19-P8-RD-*CD-*,19.2000
EV Charger,EV Charger,Addenergie Technologies Inc,CoRe+ Max,19.2000
EV Charger,EV Charger,FLO,HOX8F2A1A1,19.2000
EV Charger,EV Charger,PURPL,AP3P400-EVSE-3R (AEVBOX2-80-25),19.2000
EV Charger,EV Charger,AUTEL,Maxi UF19C001,19.2000
EV Charger,EV Charger,AUTEL,Maxi UF19L101,19.2000
EV Charger,EV Charger,AUTEL,"Maxi UW19L002, Maxi UW19C002",19.2000
EV Charger,EV Charger,AUTEL,"Maxi UW19LJ02,Maxi UW19CJ02,Maxi UW19LB02",19.2000
EV Charger,EV Charger,Blink,IQW2-80U-W1-N1-N-25,19.2000
EV Charger,EV Charger,Blink,IQW2-80U-M1-R2-N-25,19.2000
EV Charger,EV Charger,Blink,IQW2-80U-M2-R2-N-25,19.2000
EV Charger,EV Charger,"Blink Network, LLC",780 Single Port,19.2000
EV Charger,EV Charger,Leviton,EV80W,19.2000
EV Charger,EV Charger,Leviton,EV800,19.2000
EV Charger,EV Charger,Leviton,EV80S,19.2000
EV Charger,EV Charger,Leviton,EV80G,19.2000
EV Charger,EV Charger,breezEV,EVC-L2-P80-XX-YYY-ZZZZZ,19.2000
EV Charger,EV Charger,Lite-On,EX-1193-1,19.2000
EV Charger,EV Charger,Lite-On,EX-1193-M,19.2000
EV Charger,EV Charger,Lite-On Technology Corp,EX-1193-H,19.2000
EV Charger,EV Charger,Lite-On,EX-1193-MFD-80,19.2000
EV Charger,EV Charger,Longhorn,ECA-NC8002S-SG80-**##,19.2000
EV Charger,EV Charger,CHARGETROINX,CTX-C80-240-1,19.2000
EV Charger,EV Charger,CHARGETROINX,CTX-C80-240-2,19.2000
EV Charger,EV Charger,CTEK SWEDEN AB,3005,19.2000
EV Charger,EV Charger,EATON,GMEV80CME1B-WC,19.2000
EV Charger,EV Charger,EATON,GMEV80CMC1B-XXX,19.2000
EV Charger,EV Charger,EATON,GMEV80CME1B-XXX,19.2000
EV Charger,EV Charger,EATON,GMEV80CME1-WC,19.2000
EV Charger,EV Charger,EATON,GMEV80CIE1B-WC,19.2000
EV Charger,EV Charger,"Enel X Way USA, LLC",2JBX801AJ,19.2000
EV Charger,EV Charger,"Enel X Way USA, LLC",2JBX801AJ-001,19.2000
EV Charger,EV Charger,Enphase,"CS-100, CS-100C",19.2000
EV Charger,EV Charger,EpicCharging,EC/80AC/01C/XX/RF/WF,19.2000
